condition,fold,n_pairs,match_rate,pair_rmse_px,single_shot_rmse_px,sigma_x_px,sigma_y_px,bias_x_px,bias_y_px
no_n2v,1,1983,0.7385,1.0557,0.7465,0.6499,0.6525,0.2982,-0.4218
no_n2v,2,2757,0.9128,0.8248,0.5832,0.4688,0.555,0.0914,0.38
no_n2v,3,2750,0.939,0.8572,0.6061,0.6306,0.4863,0.315,0.0396
no_n2v,4,2659,0.7401,1.2214,0.8636,0.8198,0.6482,-0.6148,-0.1486
no_n2v,5,2979,0.924,0.9193,0.6501,0.6895,0.5205,0.2858,-0.1317
with_n2v,1,2144,0.7153,0.8147,0.5761,0.5717,0.5739,-0.0051,0.0883
with_n2v,2,2685,0.8895,0.6544,0.4628,0.4763,0.4465,-0.0388,0.0272
with_n2v,3,2754,0.9297,0.6862,0.4852,0.4732,0.4958,-0.014,0.0341
with_n2v,4,3074,0.7688,0.7073,0.5001,0.4913,0.5086,0.0129,-0.0147
with_n2v,5,3135,0.8179,0.72,0.5091,0.5022,0.5151,-0.008,-0.0315
