arch,condition,best_fold,fold_base,checkpoint,checkpoint_sha256,load_mode,elapsed_localization_s,actual_inference_batch,n_val_total,sampling,output_directory,n_samples,n_samples_with_reference,n_atoms,gt_n_det,gt_n_gt,gt_n_match,gt_precision,gt_recall,gt_f1,gt_rmse_px,refine_success_rate,spacing_px_mean,spacing_px_median,column_fwhm_px_mean,pixel_size_A,match_tol_px,spacing_A_mean,spacing_A_std,column_fwhm_A_mean,gt_rmse_A,psnr_noisy_mean,psnr_gaussian_mean,psnr_denoised_mean,fold
AtomSegNet,no_n2v,1,1,D:\Results\without n2v\AtomSegNet\AtomSegNet_fold1.pt,97f55df61aabb6d1d317e71d61ea299ba413b9b64bb16a9fa48f503e881c1b33,strict,87.10363040000084,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\AtomSegNet\localization_v2\20260907T143729\fold_01,100,100,7181,7181,6655,6420,0.8940259016850021,0.9646882043576258,0.9280138768430182,1.0812958885539812,0.0412198858097758,20.81769510238196,17.72004514666935,5.391985767447887,,3.0,,,,,14.899157202225298,22.210053371821374,27.344421497462985,1
AtomSegNet,no_n2v,2,1,D:\Results\without n2v\AtomSegNet\AtomSegNet_fold2.pt,6d330db6ca65767dcb01b2bd86282d0cc2d5585a58b3084232a794d43d533494,strict,58.83281369999895,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\AtomSegNet\localization_v2\20260907T143729\fold_02,100,100,7123,7123,6625,6344,0.8906359679910151,0.9575849056603774,0.9228978760546989,1.129685938942194,0.05194440544714306,20.50819694086902,18.0,4.671590354598403,,3.0,,,,,15.230010731381812,23.370739016711635,27.304963127901743,2
AtomSegNet,no_n2v,3,1,D:\Results\without n2v\AtomSegNet\AtomSegNet_fold3.pt,a18d7954e75f7729dbe9128f17816d821036fddb3eee7bcc8dad5232ab25fd95,strict,58.57199910000054,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\AtomSegNet\localization_v2\20260907T143729\fold_03,100,100,7312,7312,6760,6519,0.8915481400437637,0.9643491124260355,0.9265207504263786,1.1254430481141076,0.06537199124726477,20.513085686471975,16.492422502470642,5.718251388600101,,3.0,,,,,15.133085138102524,21.381032334491827,27.778391417287438,3
AtomSegNet,no_n2v,4,1,D:\Results\without n2v\AtomSegNet\AtomSegNet_fold4.pt,27b9d9e727a552bbcb96098418e4a788a4b5d5e6fe18c3ac7f4dcfac801a3444,strict,59.80099500000142,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\AtomSegNet\localization_v2\20260907T143729\fold_04,100,100,7083,7083,6734,6533,0.9223492870252717,0.9701514701514702,0.9456466671491641,1.123240678897733,0.06268530283778061,19.973000387777486,16.492422502470642,5.325263261796953,,3.0,,,,,15.459153258184008,22.422097834656228,27.1240694778835,4
AtomSegNet,no_n2v,5,1,D:\Results\without n2v\AtomSegNet\AtomSegNet_fold5.pt,086f76654ac32e3549c4d9bc6da1e3ad33febee5b6ac3e33a32ab49ec4f13700,strict,59.399198199998864,4,2872,Fixed random subset chosen before inference,D:\Results\without n2v\AtomSegNet\localization_v2\20260907T143729\fold_05,100,100,7156,7156,6605,6338,0.8856903297931805,0.9595760787282361,0.9211539859021873,1.177605633665898,0.06721632196757965,20.048173431325246,16.278820596099706,5.205069605250688,,3.0,,,,,15.196743168699133,22.41309571677125,27.46316203150036,5
HRNet,no_n2v,1,1,D:\Results\without n2v\HRNet\HRNet_fold1.pt,a13e169fd48c700421e819bbe1f896ac083add28e6c6303b545cf7070564de22,strict,78.43053189999955,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\HRNet\localization_v2\20260907T143729\fold_01,100,100,7177,7177,6655,6417,0.8941061724954716,0.9642374154770849,0.9278484673221515,1.0785817724355231,0.02619478890901491,20.73885614875679,17.72004514666935,5.237601405814524,,3.0,,,,,14.899157202225298,22.210053371821374,28.26392176655928,1
HRNet,no_n2v,2,1,D:\Results\without n2v\HRNet\HRNet_fold2.pt,620f84b8144d0a56915a4ad3782bca6a7cd5f5e27d74a33698952c38b01e6d6c,strict,67.84997730000032,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\HRNet\localization_v2\20260907T143729\fold_02,100,100,7250,7250,6625,6291,0.8677241379310345,0.9495849056603773,0.9068108108108108,1.1555499889688539,0.04124137931034483,20.137026856494852,17.72004514666935,5.166394143076604,,3.0,,,,,15.230010731381812,23.370739016711635,27.456335299379997,2
HRNet,no_n2v,3,1,D:\Results\without n2v\HRNet\HRNet_fold3.pt,30ab5802fdfc002bae98809ffdd76e488d3f7fd668807275fa46677023b0a34e,strict,73.14523569999983,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\HRNet\localization_v2\20260907T143729\fold_03,100,100,7513,7513,6760,6463,0.8602422467722615,0.9560650887573965,0.9056260071463602,1.129773672287538,0.04538799414348463,19.951168186002988,16.15549442140351,5.206563452897641,,3.0,,,,,15.133085138102524,21.381032334491827,27.494623958537655,3
HRNet,no_n2v,4,1,D:\Results\without n2v\HRNet\HRNet_fold4.pt,03c9eb835485adb3f5d25631a4275e7bf44da6d097341576c20d111e2eb099f4,strict,76.48020440000073,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\HRNet\localization_v2\20260907T143729\fold_04,100,100,7079,7079,6734,6509,0.9194801525639215,0.9665874665874666,0.9424455223340331,1.1059772038565605,0.026416160474643312,19.9181175729332,16.492422502470642,5.185725229992753,,3.0,,,,,15.459153258184008,22.422097834656228,27.377555128297157,4
UNetPP,no_n2v,1,1,D:\Results\without n2v\UNetPP\UNetPP_fold1.pt,e03d45a51deb4d30f96b3945c8085c3801dc1bdacf9a3a5e1ea26e7e29a4d5f8,strict,115.05437810000149,4,2873,Fixed random subset chosen before inference,D:\Results\without n2v\UNetPP\localization_v2\20260907T143729\fold_01,100,100,7142,7142,6655,6357,0.89008681041725,0.955221637866266,0.9215046749293324,1.2067260549801375,0.06832819938392608,20.715631230930956,17.6448065093942,5.216774650438276,,3.0,,,,,14.899157202225298,22.210053371821374,13.07080552384521,1
