arch,condition,fold,sample,iou,psnr
AtomSegNet,no_n2v,1,13004,0.69888,19.467464
AtomSegNet,no_n2v,1,02233,0.946828,26.325132
AtomSegNet,no_n2v,2,13045,0.761846,29.847778
AtomSegNet,no_n2v,2,02334,0.898782,24.575432
AtomSegNet,no_n2v,3,13099,0.803423,31.355494
AtomSegNet,no_n2v,3,02282,0.862502,31.056118
AtomSegNet,no_n2v,4,13146,0.749264,25.820913
AtomSegNet,no_n2v,4,02218,0.932787,33.040501
AtomSegNet,no_n2v,5,13126,0.799845,27.367702
AtomSegNet,no_n2v,5,02369,0.927292,25.75996
UNetPP,no_n2v,1,13004,0.593527,15.254359
UNetPP,no_n2v,1,02233,0.925473,14.768293
UNetPP,no_n2v,2,13045,0.774607,30.692898
UNetPP,no_n2v,2,02334,0.896578,22.001556
UNetPP,no_n2v,3,13099,0.748167,28.914642
UNetPP,no_n2v,3,02282,0.821965,27.091232
HRNet,no_n2v,1,13004,0.631829,24.421749
HRNet,no_n2v,1,02233,0.945024,39.655094
HRNet,no_n2v,2,13045,0.779376,30.716949
HRNet,no_n2v,2,02334,0.887227,24.420471
HRNet,no_n2v,3,13099,0.779692,31.978958
HRNet,no_n2v,3,02282,0.842675,28.382074
HRNet,no_n2v,4,13146,0.756169,25.740099
HRNet,no_n2v,4,02218,0.912818,33.17886
AtomSegNet,with_n2v,1,13004,0.610714,20.442591
AtomSegNet,with_n2v,1,02233,0.936002,23.424286
AtomSegNet,with_n2v,2,13045,0.742874,27.127094
AtomSegNet,with_n2v,2,02334,0.877785,20.329817
AtomSegNet,with_n2v,3,13099,0.768582,29.753382
AtomSegNet,with_n2v,3,02282,0.848913,22.413271
AtomSegNet,with_n2v,4,13146,0.669608,24.912739
AtomSegNet,with_n2v,4,02218,0.909803,32.867134
AtomSegNet,with_n2v,5,13126,0.762877,25.733307
AtomSegNet,with_n2v,5,02369,0.919319,24.259071
UNetPP,with_n2v,1,13004,0.616397,15.682568
UNetPP,with_n2v,1,02233,0.941339,14.945203
UNetPP,with_n2v,2,13045,0.765677,11.270662
UNetPP,with_n2v,2,02334,0.879513,13.19121
UNetPP,with_n2v,3,13099,0.806214,32.254665
UNetPP,with_n2v,3,02282,0.854712,26.971252
UNetPP,with_n2v,4,13146,0.689198,17.347929
UNetPP,with_n2v,4,02218,0.906347,14.951879
UNetPP,with_n2v,5,13126,0.745682,13.382549
UNetPP,with_n2v,5,02369,0.907699,9.318703
HRNet,with_n2v,1,13004,0.417332,7.874452
HRNet,with_n2v,1,02233,0.910233,18.302063
