arch,condition,fold,sample,axis,shift,method,is_frac,err_row,err_col,err_along
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.4703575155874944,0.7789383498813152,0.7789383498813152
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-2.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.32638270245354306,-0.022636444798877164,-0.022636444798877164
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.3966363004394182,0.30395889482771565,0.30395889482771565
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.5523303202269574,0.6443952317290211,0.6443952317290211
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.16968464447708698,0.0144836039594054,0.0144836039594054
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.23115328543460123,0.6592885804529232,0.6592885804529232
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0732453661988046,0.13390689997606842,0.13390689997606842
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.15970600556536851,1.7127565542187995,1.7127565542187995
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.23168146132233858,-0.4412486716329056,-0.4412486716329056
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.6042593400410681,1.7189387431055252,1.7189387431055252
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.01719761127188235,0.45598694977708476,0.45598694977708476
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.7238836229586809,0.5403302431839165,0.5403302431839165
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.18337608299884778,0.4799728623177373,0.4799728623177373
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.29819798211816817,1.6739772030756797,1.6739772030756797
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.7249691230947377,0.7033882118124097,0.7033882118124097
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.15622568136910786,0.066550573185026,0.066550573185026
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.017422422380604985,0.39276342376079754,0.39276342376079754
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.20454134473433783,1.9833207541848026,1.9833207541848026
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.43367593227321777,1.4106068061295218,1.4106068061295218
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.5146558757275841,0.5642895807602883,0.5642895807602883
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.39047040550255474,1.2205476519568492,1.2205476519568492
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.13825810459442778,0.6777352980585647,0.6777352980585647
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.16763844201700806,0.03754286561277809,0.03754286561277809
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.723716497828832,0.8931725811671214,0.8931725811671214
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-2.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.7216894735452968,-0.18693925204925677,-0.18693925204925677
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.40160635008258083,0.5592874102567862,0.5592874102567862
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.6471917753333258,1.3902477772156203,1.3902477772156203
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.843239906785385,0.7546119353098675,0.7546119353098675
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.764525105074398,1.2972478256257318,1.2972478256257318
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.489931137480653,1.228212403331142,1.228212403331142
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.44849698942647365,0.888834007183533,0.888834007183533
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.708631154243733,-0.4365080068054539,-0.4365080068054539
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.22216915653143587,0.7170606664629986,0.7170606664629986
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.4933697259313021,-0.15055348035227212,-0.15055348035227212
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.5367598998789731,1.081571203535887,1.081571203535887
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.3554818519316143,-1.0583403838887762,-1.0583403838887762
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-2.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,1.0,1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.1641809598624775,-0.4889798329970745,-0.4889798329970745
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-2.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,1.2701025603131768,-1.1111136287357795,-1.1111136287357795
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,0.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,0.0,0.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-1.0,-1.0,-1.0
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,-0.19496071186304675,-0.3111093500104545,-0.3111093500104545
AtomSegNet,no_n2v,1,13004,x,0.0,refined,False,1.0,1.0,1.0
