arch,condition,fold,n_pairs,match_rate_refined,rmse_2d_px,single_shot_rmse_px,sigma_x_px,sigma_y_px,bias_x_px,bias_y_px,raw_rmse_2d_px,control_shift0_max_abs_px,control_shift1_rmse_px,seconds
AtomSegNet,no_n2v,1,1983,0.738521,1.055685,0.746482,0.649912,0.652459,0.298192,-0.421773,1.031141,2.0,1.059746,91.8
AtomSegNet,no_n2v,2,2757,0.912827,0.824788,0.583213,0.468753,0.55497,0.091371,0.379996,0.806295,1.434072,0.654502,31.8
AtomSegNet,no_n2v,3,2750,0.939027,0.857165,0.606107,0.630625,0.486306,0.314989,0.039552,0.82365,1.648641,0.65949,34.0
AtomSegNet,no_n2v,4,2659,0.740108,1.221381,0.863647,0.819757,0.648165,-0.614805,-0.148589,1.20387,2.0,1.340435,39.8
AtomSegNet,no_n2v,5,2979,0.924021,0.919331,0.650065,0.689535,0.520515,0.285777,-0.131746,0.888902,1.688334,0.819595,33.8
UNetPP,no_n2v,1,2143,0.782528,0.80822,0.571498,0.568097,0.574229,-0.018949,0.026293,0.746981,2.0,0.718774,100.7
UNetPP,no_n2v,2,2816,0.935631,0.695017,0.491451,0.483101,0.481298,-0.036622,0.12976,0.655208,1.709028,0.542928,34.8
UNetPP,no_n2v,3,2742,0.933233,0.660574,0.467096,0.451885,0.480451,0.026411,-0.028033,0.624163,1.598338,0.49235,37.9
HRNet,no_n2v,1,2148,0.757147,1.033007,0.730447,0.645098,0.703635,-0.080215,-0.387093,1.024078,2.0,1.199243,290.6
HRNet,no_n2v,2,2689,0.879017,0.769436,0.544073,0.449947,0.555745,0.076631,0.273944,0.74664,1.648014,0.608566,49.0
HRNet,no_n2v,3,2752,0.926368,0.81321,0.575026,0.585381,0.48989,0.239048,0.147361,0.801997,1.678482,0.690864,49.0
AtomSegNet,with_n2v,1,2144,0.715343,0.814713,0.576089,0.571719,0.573919,-0.005146,0.088273,0.756506,2.0,0.769017,40.4
AtomSegNet,with_n2v,2,2685,0.889528,0.654433,0.462754,0.476315,0.446454,-0.038775,0.027231,0.630054,1.0,0.495162,34.7
AtomSegNet,with_n2v,3,2754,0.929652,0.686223,0.485233,0.473173,0.495803,-0.014049,0.034073,0.643115,2.0,0.598112,33.0
AtomSegNet,with_n2v,4,3074,0.768821,0.707282,0.500124,0.491259,0.50862,0.012855,-0.014669,0.65512,2.0,0.632614,47.6
AtomSegNet,with_n2v,5,3135,0.817936,0.719993,0.509112,0.502174,0.515092,-0.00798,-0.031518,0.675843,2.0,0.584461,42.2
UNetPP,with_n2v,1,2142,0.766258,0.910545,0.643852,0.600891,0.641068,-0.100028,-0.217734,0.885824,2.0,0.93005,36.5
UNetPP,with_n2v,2,2796,0.952721,0.777626,0.549865,0.495301,0.543116,-0.087777,0.238523,0.753315,1.519881,0.566052,35.2
UNetPP,with_n2v,3,2715,0.937484,0.804384,0.568785,0.538461,0.539019,-0.245538,0.080474,0.791485,2.0,0.664549,36.7
UNetPP,with_n2v,4,3136,0.803581,0.749528,0.529996,0.519207,0.526822,-0.116829,-0.034658,0.699772,1.643577,0.692232,52.7
UNetPP,with_n2v,5,3141,0.901022,0.637942,0.451093,0.442073,0.460059,0.001525,0.003914,0.613452,1.418454,0.5356,43.3
HRNet,with_n2v,1,1764,0.572801,0.886936,0.627158,0.616749,0.636042,-0.032753,-0.033135,0.838082,2.0,0.9056,45.9
HRNet,with_n2v,2,2697,0.903056,0.717424,0.507295,0.528642,0.483036,0.045623,-0.00452,0.665885,2.0,0.575957,43.8
