sample,n_atoms,n_input_atoms,n_lattice_inliers,lattice_inlier_fraction,n_dropped_lattice_outliers,n_valid,valid_strain_fraction,edge_fraction,d0_px,lattice_scale_px,a1_px,a2_px,cell_angle_deg,cell_area_px2,lattice_rmse_px,lattice_rmse_fraction,index_collisions,raw_index_collision_rate,lattice_p90_residual_px,lattice_max_residual_px,n_vector_clusters,n_basis_candidates,displacement_rms_px,local_fit_residual_median_px,exx_median,exx_sigma,eyy_median,eyy_sigma,exy_median,exy_sigma,rotation_median,rotation_sigma,dilatation_median,dilatation_sigma,shear_max_median,shear_max_sigma,arch,condition,fold,n_accepted_fits,n_peaks
13004,130,151,130,0.8609271523178808,21,117,0.9,0.1,15.0,15.961897695789695,16.123186983405176,15.961897695789695,89.59292140416929,257.35016562518024,1.345472218619313,0.08429274790892885,0,0.015151515151515152,2.1756805006398325,3.710140545602048,28,285,1.345472218619313,1.0648425467828193,0.0004975308108148241,0.017374404919032124,-0.0010307305103229001,0.021884470673286815,0.0003990621725499556,0.014801401167605569,0.00037896566230665243,0.014339614528222435,0.0042416895392834875,0.023078270405830457,0.017879598438710675,0.010956866618361281,AtomSegNet,no_n2v,1,29,151
13853,70,82,70,0.8536585365853658,12,44,0.6285714285714286,0.37142857142857144,20.8806130178211,21.031811565797657,21.031811565797657,40.51306942806444,99.61147118146987,840.1025139405301,0.7537627464492537,0.03583917362948598,0,0.013333333333333334,1.1098866396597582,1.9439495505762348,14,71,0.7537627464492537,0.5875358260898751,0.006410817804629792,0.004015720721766252,0.003206264880211818,0.010683550262333693,0.00024175457069966749,0.006931093914443249,0.0029429946006857698,0.006755485186093773,0.0060976744396825135,0.010254056810481747,0.00767745098574075,0.003679732205993568,AtomSegNet,no_n2v,1,0,82
11044,281,293,281,0.9590443686006825,12,239,0.8505338078291815,0.1494661921708185,11.661903789690601,12.158258105217511,12.158258105217511,12.186626094119394,60.050159055163654,128.38218505128427,0.4702452613476857,0.038677025711922323,0,0.0,0.6672071876884386,1.5637578704537787,28,326,0.4702452613476857,0.3864803229276063,-0.0023984796609132944,0.008333179309485423,0.004558396088069884,0.020950289062555326,-0.0005323653015341565,0.005546132940909944,0.00032846917693411364,0.005495067844113966,0.0014931363592510447,0.02158753912055105,0.007462969547563393,0.004417748915673332,AtomSegNet,no_n2v,1,0,293
11950,157,158,157,0.9936708860759493,1,141,0.8980891719745223,0.10191082802547771,15.264337522473747,15.98892183888117,16.02019594402004,15.98892183888117,89.90204634063211,256.14528646393455,0.5871408622492891,0.03672172946780597,0,0.0,0.818769218368911,1.5573155918088393,28,322,0.5871408622492891,0.5230806746398243,1.6793447290352716e-06,0.010847876205058348,-0.00028095846083603653,0.010667992790765343,0.0007143915737872135,0.005928659206668435,0.00018205870131966805,0.006011140008587051,-0.00042096897788149786,0.012864062436272338,0.007265125342822801,0.004992990646552777,AtomSegNet,no_n2v,1,4,158
13004,119,150,119,0.7933333333333333,31,105,0.8823529411764706,0.11764705882352941,15.229983531907369,15.98219299404738,16.102145801273945,15.98219299404738,89.50817332534481,257.33812054768237,1.6690195182337502,0.10442994392918305,0,0.0,2.71243710402995,3.7636125795464883,28,275,1.6690195182337502,1.3256262745546408,-0.00017508723387865956,0.016404921324680775,0.0028617839133228285,0.025477298074564548,-0.002695423977471092,0.01664068229629395,0.0035242496458672487,0.021305028381657327,0.005990698488459487,0.032187547318300216,0.02096913219365124,0.013842609258545312,HRNet,no_n2v,1,18,150
13853,71,83,71,0.8554216867469879,12,42,0.5915492957746479,0.4084507042253521,20.615528128088304,21.018081882159713,21.018081882159713,40.42855613190642,99.69743445948372,837.5889118227714,0.7983014306965319,0.03798165004648381,0,0.0,1.0559176594961535,2.4958770319411983,18,122,0.7983014306965319,0.6649952368184797,0.00430053884614838,0.004817008055546528,-0.0004368456996951442,0.009070203878200211,0.0001027053540704169,0.00869785899980794,0.0010472820242854036,0.006445154574938363,0.0060482586112604,0.010005106434382493,0.00793328886956917,0.0039001287776333268,HRNet,no_n2v,1,0,83
11044,142,292,142,0.4863013698630137,150,99,0.6971830985915493,0.3028169014084507,11.661903789690601,20.986615205093262,20.986615205093262,21.050385062844555,59.956301435908394,382.4209465508279,0.5404196976030143,0.025750684058468816,0,0.02,0.8646049119637268,1.2494465188431367,28,327,0.5404196976030143,0.3676354453972031,-0.002392455444474712,0.003497793215452394,0.004563687003330263,0.01657287579874057,-0.0002791087925893019,0.0005835890246529954,0.00014338946727743957,0.0005787444363670108,0.008339947658641161,0.01657304931500551,0.005448027245455934,0.0038284381244545118,HRNet,no_n2v,1,0,292
11950,156,157,156,0.9936305732484076,1,140,0.8974358974358975,0.10256410256410256,15.264337522473747,15.97015953417613,15.97015953417613,15.983177395070937,90.14781843102597,255.25304338057754,0.6460182483972492,0.04045158390652082,0,0.0,0.8734572196722628,2.1962976040548656,28,312,0.6460182483972492,0.507756050656109,0.001916794510329395,0.00933898077277811,0.005524267780377432,0.01426432067715773,0.00023416276068879678,0.006520025630251809,5.383561208795987e-05,0.0070731758184962605,0.003862821917480904,0.015884827390342058,0.00768908161981142,0.006254548339116729,HRNet,no_n2v,1,4,157
13004,112,171,112,0.6549707602339181,59,98,0.875,0.125,8.06225774829855,16.082792523013907,16.095231188799918,16.082792523013907,89.64177120295822,258.8512043730896,1.6422346271318877,0.10211128600844088,0,0.02608695652173913,2.6506654968089123,3.6630294205394374,28,284,1.6422346271318877,1.3292197431377986,0.0043020110407581144,0.026720371917007286,0.001971177360408185,0.027868995594999023,-0.0010389901492653508,0.01904551389520016,-0.0022809410892902764,0.023709125347231744,0.003637283990697091,0.03192216007431306,0.021853030555782194,0.01304365834365385,UNetPP,no_n2v,1,21,171
13853,74,83,74,0.891566265060241,9,46,0.6216216216216216,0.3783783783783784,20.322267392843862,20.98898446626122,20.98898446626122,40.34779678060854,99.82711413123523,834.4335167040414,1.0255990536792239,0.04886368158153745,0,0.012987012987012988,1.3933023012009718,3.3206883828142706,18,115,1.0255990536792239,0.6486663737467342,0.006608681145561037,0.002658070619813483,8.007263444692647e-05,0.010257350447341086,-0.0010839277318687914,0.005755226791608419,0.0003534847400050732,0.006917099605830284,0.007327344948190562,0.010717033932269748,0.006168907744052984,0.002443332749849391,UNetPP,no_n2v,1,1,83
11044,282,289,282,0.9757785467128027,7,239,0.8475177304964538,0.1524822695035461,11.661903789690601,12.138446851922605,12.138446851922605,12.142729362508996,120.00742123655196,127.63729344830949,0.4367041249226793,0.03597693594988306,0,0.0,0.5966751156172302,1.333336605741897,28,325,0.4367041249226793,0.3760766649655654,-0.0014357553860528671,0.0015330230169287415,-0.009676418868261254,0.015043728132423306,0.0005929705582113673,0.005516145394633307,-0.00033915807222513125,0.005516145394633229,-0.0020708967220772257,0.019541651449257333,0.006433166320996553,0.0039553798574877745,UNetPP,no_n2v,1,13,289
11950,151,156,151,0.967948717948718,5,138,0.9139072847682119,0.08609271523178808,15.264337522473747,15.959931524836533,15.959931524836533,16.003285367141626,90.10952865681432,255.41087195080058,0.653065171232178,0.040919045938003606,0,0.0,0.9489608019771407,1.668204726994113,28,319,0.653065171232178,0.5829696515033689,-3.979629886622011e-06,0.008876368795719394,-0.001188592664508784,0.011571550793033054,0.0007864293645242046,0.005975975175580666,-0.0005149073004866388,0.0067594436625990064,0.0002925910422661498,0.012846436088736006,0.008489830473409794,0.004305252816456317,UNetPP,no_n2v,1,40,156
