path,arch,condition,fold,size_mb,mtime,from_tag
D:\REsults\SwinUNet\SwinUNet_fold1.pt,SwinUNet,no_n2v,1,70.9,2026-09-13,True
D:\REsults\SwinUNet\SwinUNet_fold2.pt,SwinUNet,no_n2v,2,70.9,2026-09-13,True
D:\REsults\SwinUNet\SwinUNet_fold3.pt,SwinUNet,no_n2v,3,70.9,2026-09-13,True
D:\REsults\SwinUNet\SwinUNet_fold4.pt,SwinUNet,no_n2v,4,70.9,2026-09-13,True
D:\REsults\SwinUNet\SwinUNet_fold5.pt,SwinUNet,no_n2v,5,70.9,2026-09-13,True
D:\REsults\without n2v\AtomSegNet\AtomSegNet_fold1.pt,AtomSegNet,no_n2v,1,69.7,2026-09-06,True
D:\REsults\without n2v\AtomSegNet\AtomSegNet_fold2.pt,AtomSegNet,no_n2v,2,69.7,2026-09-06,True
D:\REsults\without n2v\AtomSegNet\AtomSegNet_fold3.pt,AtomSegNet,no_n2v,3,69.7,2026-09-06,True
D:\REsults\without n2v\AtomSegNet\AtomSegNet_fold4.pt,AtomSegNet,no_n2v,4,69.7,2026-09-06,True
D:\REsults\without n2v\AtomSegNet\AtomSegNet_fold5.pt,AtomSegNet,no_n2v,5,69.7,2026-09-06,True
D:\REsults\without n2v\HRNet\HRNet_fold1.pt,HRNet,no_n2v,1,70.1,2026-09-10,True
D:\REsults\without n2v\HRNet\HRNet_fold2.pt,HRNet,no_n2v,2,70.1,2026-09-10,True
D:\REsults\without n2v\HRNet\HRNet_fold3.pt,HRNet,no_n2v,3,70.1,2026-09-10,True
D:\REsults\without n2v\HRNet\HRNet_fold4.pt,HRNet,no_n2v,4,70.1,2026-09-10,True
D:\REsults\without n2v\HRNet\HRNet_fold5.pt,HRNet,no_n2v,5,70.1,2026-09-10,True
D:\REsults\without n2v\UNetPP\UNetPP_fold1.pt,UNetPP,no_n2v,1,69.6,2026-09-10,True
D:\REsults\without n2v\UNetPP\UNetPP_fold2.pt,UNetPP,no_n2v,2,69.6,2026-09-10,True
D:\REsults\without n2v\UNetPP\UNetPP_fold3.pt,UNetPP,no_n2v,3,69.6,2026-09-10,True
D:\REsults\without n2v\UNetPP\UNetPP_fold4.pt,UNetPP,no_n2v,4,69.6,2026-09-10,True
D:\REsults\without n2v\UNetPP\UNetPP_fold5.pt,UNetPP,no_n2v,5,69.6,2026-09-12,True
D:\REsults\with n2v\AtomSegNet\AtomSegNet_fold1.pt,AtomSegNet,with_n2v,1,69.7,2026-09-07,True
D:\REsults\with n2v\AtomSegNet\AtomSegNet_fold2.pt,AtomSegNet,with_n2v,2,69.7,2026-09-07,True
D:\REsults\with n2v\AtomSegNet\AtomSegNet_fold3.pt,AtomSegNet,with_n2v,3,69.7,2026-09-07,True
D:\REsults\with n2v\AtomSegNet\AtomSegNet_fold4.pt,AtomSegNet,with_n2v,4,69.7,2026-09-07,True
D:\REsults\with n2v\AtomSegNet\AtomSegNet_fold5.pt,AtomSegNet,with_n2v,5,69.7,2026-09-07,True
D:\REsults\with n2v\HRNet\HRNet_fold1.pt,HRNet,with_n2v,1,70.1,2026-09-10,True
D:\REsults\with n2v\HRNet\HRNet_fold2.pt,HRNet,with_n2v,2,70.1,2026-09-10,True
D:\REsults\with n2v\HRNet\HRNet_fold3.pt,HRNet,with_n2v,3,70.1,2026-09-10,True
D:\REsults\with n2v\HRNet\HRNet_fold4.pt,HRNet,with_n2v,4,70.1,2026-09-10,True
D:\REsults\with n2v\HRNet\HRNet_fold5.pt,HRNet,with_n2v,5,70.1,2026-09-10,True
D:\REsults\with n2v\UNetPP\UNetPP_fold1.pt,UNetPP,with_n2v,1,69.6,2026-09-07,True
D:\REsults\with n2v\UNetPP\UNetPP_fold2.pt,UNetPP,with_n2v,2,69.6,2026-09-07,True
D:\REsults\with n2v\UNetPP\UNetPP_fold3.pt,UNetPP,with_n2v,3,69.6,2026-09-07,True
D:\REsults\with n2v\UNetPP\UNetPP_fold4.pt,UNetPP,with_n2v,4,69.6,2026-09-07,True
D:\REsults\with n2v\UNetPP\UNetPP_fold5.pt,UNetPP,with_n2v,5,69.6,2026-09-07,True
