n,bias_x,bias_y,bias_mag,jitter_x,jitter_y,rmse,stem,shift,matched_frac,spurious_frac
133,3.8320990825013723e-10,4.7695891680632485e-09,4.7849587945861505e-09,5.5048359206466554e-08,4.107606386014595e-08,6.58522853830321e-08,07364,0.0,1.0,0.0
133,0.0005260519878902414,5.589955286211534e-06,0.0005260816871583505,0.0003478839419955079,5.90235025047761e-05,0.0015209376607493545,07364,0.125,1.0,0.0
133,0.000887327009294836,-9.107927496643242e-07,0.0008873274767342386,0.0008230423630569884,0.00010806708184158537,0.0021122581287486364,07364,0.25,1.0,0.0
133,0.0011825186277008015,-1.1328965001666802e-06,0.001182519170379012,0.0019037861712582183,0.00013541757907663623,0.002445775105338796,07364,0.375,1.0,0.0
133,-0.0014015922558883176,-5.314621859042745e-06,0.0014016023319656714,0.0034709171636157603,0.00014290235266347935,0.002552797321277702,07364,0.5,1.0,0.0
133,-0.0012623680191303777,-9.083036388801702e-06,0.001262400696004717,0.0017380709999310362,0.00012349953961214054,0.0024359185448637986,07364,0.625,1.0,0.0
132,-0.0009556711064071521,-4.071869440736009e-06,0.0009556797809633793,0.0007657453151797632,0.00011157924303479518,0.0020178799874450465,07364,0.75,0.9924812030075187,0.0
132,-0.000529131139884953,6.313264577784139e-07,0.0005291315165146052,0.0003080817379367829,6.368038885226923e-05,0.0014679107470269518,07364,0.875,0.9924812030075187,0.0
90,-5.564334770724599e-09,-2.685901279164682e-09,6.1786638622046155e-09,3.385371147999194e-08,3.896279179720352e-08,5.1382099035622796e-08,07557,0.0,1.0,0.0
90,-2.0426235479931165e-05,-5.689389340091111e-06,2.1203779072248916e-05,8.559782248702276e-05,2.9719281395856e-05,0.0001149982608059012,07557,0.125,1.0,0.0
90,-5.3756386662939804e-05,-7.93772163909523e-06,5.4339272463617446e-05,0.00016231821744177067,5.342934198755138e-05,0.00015552478881947934,07557,0.25,1.0,0.0
90,2.950278314983734e-05,-1.6529085868910443e-05,3.381752346414712e-05,0.00022009114003522683,8.172059298200196e-05,0.00024127159152958423,07557,0.375,1.0,0.0
90,-2.9864311215987982e-05,-1.694695690446224e-05,3.433768240180292e-05,0.00028105580467842513,8.547231296639558e-05,0.0002464654731823089,07557,0.5,1.0,0.0
90,-2.8203412874461264e-05,-2.0902442784631603e-05,3.510476623098529e-05,0.00024266444453981676,7.71295410063935e-05,0.00024406562765593484,07557,0.625,1.0,0.0
90,3.841058205722447e-06,-1.0291621300950737e-05,1.098504424851947e-05,0.00015780524569104627,5.0177776689705665e-05,0.000214364714349597,07557,0.75,1.0,0.0
90,2.471805727566334e-05,3.715555994432407e-06,2.4995753876023345e-05,6.814353819655423e-05,2.869297724809243e-05,7.267855858748415e-05,07557,0.875,1.0,0.0
80,-5.234875644077874e-09,1.4622713706557988e-08,1.553150601689735e-08,5.895483868556539e-08,3.937821743136283e-08,6.645833249081231e-08,07443,0.0,1.0,0.0
80,-1.952502893232122e-05,-5.396734302109962e-06,2.0257134445314595e-05,4.761795311589134e-05,3.006341605234155e-05,5.534757278855243e-05,07443,0.125,1.0,0.0
50,-1.4437474590067723e-05,-1.840976766231961e-05,2.3395730762672063e-05,0.00011117403985605695,4.802500968699874e-05,9.940702927486772e-05,07443,0.25,0.625,0.0
20,-0.00010571881287546603,5.1766204805403504e-05,0.00011771239253261648,0.00010641046854418059,1.2062834003333477e-05,0.0001455877400761151,07443,0.375,0.25,0.5
20,-0.00015274263134079646,6.213922230813296e-05,0.00016489873977071514,9.674123797484171e-05,1.9674092977456326e-05,0.00017776620870062361,07443,0.5,0.25,0.5
20,2.2039644267835e-05,-5.0045716207591795e-05,5.468381506610094e-05,0.000167403662438579,3.709304904155601e-05,0.0001502888066998142,07443,0.625,0.25,0.5
50,2.9563456377168507e-05,1.5717395271508394e-05,3.348185280245972e-05,0.00012457688510356774,2.9856304997882432e-05,0.00010215503105784992,07443,0.75,0.625,0.0
80,1.3917982485622815e-05,5.3182959440789546e-06,1.4899480132504963e-05,5.083815105584648e-05,2.4121882958445438e-05,6.079448296662522e-05,07443,0.875,1.0,0.0
