condition,arch,fold,stem,n_pred,n_true,n_regions,d_px,d_true,spacing_err_pct,off_dx,off_dy,off_mag,off_scatter,area_ratio,n_offsets
no_n2v,AtomSegNet,2,07364,132,133,151,18.34548746691138,18.37248987818099,-0.14697197521212257,-0.5,-0.3333333333333286,0.6009252125773289,0.6166866393991239,1.0583941605839415,123
no_n2v,AtomSegNet,2,07557,91,90,102,21.32732747703295,21.249528804328193,0.3661195192662772,0.0003388452155022037,-0.20717640558088135,0.20717668267808015,0.9223073301783965,1.0413223140495869,84
no_n2v,AtomSegNet,2,07443,160,80,160,16.971672733055676,17.0,-0.1666309820254325,-0.5020661157024797,0.1138512396694189,0.514813062490492,0.7281758069943305,1.0041322314049586,144
no_n2v,UNetPP,2,07364,133,133,151,18.344373712128004,18.37248987818099,-0.1530340538457768,-0.6622516556291345,-0.4967320261437891,0.8278405409137944,0.5634273423593233,1.0802919708029197,123
no_n2v,UNetPP,2,07557,92,90,102,21.323504947135575,21.249528804328193,0.3481307443970908,-0.4198690878378386,-1.1808510638297918,1.2532754229895875,1.0064291526952804,1.1900826446280992,84
no_n2v,UNetPP,2,07443,160,80,160,17.05842755658357,17.0,0.3436915093151197,-0.1902255639097703,-0.37034277198211996,0.41634064649537955,0.9345319277287766,1.0495867768595042,144
no_n2v,HRNet,2,07364,132,133,151,18.333258902377782,18.37248987818099,-0.21353107860354503,-0.6623376623376629,-0.4935897435897445,0.8260278529976515,0.5719325952435773,1.1167883211678833,123
no_n2v,HRNet,2,07557,91,90,102,21.284107194526577,21.249528804328193,0.1627254444876939,-0.6986718317653526,-1.1780285429804138,1.369632642929815,1.054273551318264,1.1322314049586777,84
no_n2v,HRNet,2,07443,159,80,160,17.019399446189556,17.0,0.11411438935033151,-0.26424459586466753,-0.0809217287823909,0.27635761728747826,0.8040550956086688,1.0826446280991735,144
no_n2v,SwinUNet,2,07364,131,133,151,18.41143027330512,18.37248987818099,0.2119494710968623,-0.5793650793650897,-0.35443037974684444,0.6791794970957303,0.676352848462082,1.1167883211678833,123
no_n2v,SwinUNet,2,07557,91,90,102,20.98175251724496,21.249528804328193,-1.2601516464152909,-0.6848973376043688,-1.0,1.212057904168589,0.8727998231863205,1.0578512396694215,84
no_n2v,SwinUNet,2,07443,159,80,160,16.969501329837613,17.0,-0.17940394213169117,-0.30034747712035426,-0.14342857142857213,0.3328368400802452,0.9196640105367802,1.0991735537190082,144
with_n2v,AtomSegNet,2,07364,132,133,151,18.304003465080918,18.37248987818099,-0.3727660951464472,-0.5974025974026063,-0.44303797468354844,0.7437556792355141,0.542414653828987,1.1386861313868613,123
with_n2v,AtomSegNet,2,07557,91,90,102,21.43859883835166,21.249528804328193,0.8897610660663464,-0.44590336134454134,-1.1799748901443792,1.2614160887786394,1.1651543055210383,1.115702479338843,84
with_n2v,AtomSegNet,2,07443,159,80,160,17.014686121842445,17.0,0.08638895201438104,-0.46054310652850816,-1.6251205865329013,1.6891171876882816,0.8026792453253231,1.1900826446280992,144
with_n2v,UNetPP,2,07364,133,133,151,18.30402543179461,18.37248987818099,-0.37264653207231774,-0.581560283687935,-0.45517241379309326,0.7385081515064152,0.5286958507740512,1.0875912408759123,123
with_n2v,UNetPP,2,07557,91,90,102,21.591972178947984,21.249528804328193,1.611533967520448,-0.23979321314952529,-0.889488879384082,0.9212444038476021,1.044730787462975,1.2975206611570247,84
with_n2v,UNetPP,2,07443,159,80,160,17.0705628477954,17.0,0.41507557526706346,-0.309601814516129,-0.15214624551660094,0.3449663223801381,0.7739667792624534,1.1074380165289257,144
with_n2v,HRNet,2,07364,131,133,151,18.34261516224012,18.37248987818099,-0.16260570090910487,-0.6193548387096826,-0.456953642384093,0.769679834425449,0.6776514361296294,1.102189781021898,123
with_n2v,HRNet,2,07557,91,90,102,21.268980832521198,21.249528804328193,0.09154098602432328,-0.42245334167448334,-1.3780045952633486,1.4413061751268683,1.3056874683813497,1.2314049586776858,84
with_n2v,HRNet,2,07443,160,80,160,16.92098841873919,17.0,-0.4647740074165378,-0.379054054054059,-1.5598591549295833,1.6052546711075009,0.9230894060378796,1.2396694214876034,144
