metric,a,b,n,mean,sd,ci_lo,ci_hi,wins,p,cohen_d,condition
iou,AtomSegNet with_n2v,AtomSegNet no_n2v,5,-0.014721928069374491,0.000992108876773259,-0.015448437436626161,-0.014000958717783774,0,4.919994844971099e-06,-14.8390246413843,
dice,AtomSegNet with_n2v,AtomSegNet no_n2v,5,-0.008648437937519127,0.0005388435732561064,-0.009051826187764456,-0.008245049687273798,0,3.5980470399741147e-06,-16.049997377269673,
best_f1,AtomSegNet with_n2v,AtomSegNet no_n2v,5,-0.008543923228796158,0.0003980340304883074,-0.008847278698698835,-0.00824056775889348,0,1.1272156353153057e-06,-21.465308426805837,
psnr,AtomSegNet with_n2v,AtomSegNet no_n2v,5,-3.6956158814554785,0.33070062063312144,-3.9322431963931246,-3.4398814498863204,0,1.5225842910871722e-05,-11.175110208079673,
iou,UNetPP with_n2v,UNetPP no_n2v,5,0.00033886085514949204,0.010336144051872723,-0.008089214486208429,0.007886706285496745,3,0.9450809139314235,0.03278406855098895,
dice,UNetPP with_n2v,UNetPP no_n2v,5,-7.981713795359723e-05,0.006063879102461723,-0.004987992290443088,0.00435590855864069,3,0.9779294318329821,-0.013162719210743214,
best_f1,UNetPP with_n2v,UNetPP no_n2v,5,-0.0005847781026987242,0.004695814473838524,-0.004411861150961149,0.002941450025918524,3,0.7944603640686843,-0.12453177312618698,
psnr,UNetPP with_n2v,UNetPP no_n2v,5,-2.9544249076019478,12.315524879004297,-11.945304401742249,6.491843338379278,2,0.6201112750133688,-0.23989435583364363,
iou,HRNet with_n2v,HRNet no_n2v,5,-0.03815681479781872,0.00482810038747672,-0.041895363567676536,-0.03446220193534755,0,6.0230057352332306e-05,-7.903069889928361,
dice,HRNet with_n2v,HRNet no_n2v,5,-0.02400662967663809,0.0031695233371745175,-0.02643633008323303,-0.021576929270043156,0,7.125830095656842e-05,-7.574208208240828,
best_f1,HRNet with_n2v,HRNet no_n2v,5,-0.02422700043856558,0.0038915220707921704,-0.02715313516062954,-0.021258723043790728,0,0.0001544173265261545,-6.225584744951442,
psnr,HRNet with_n2v,HRNet no_n2v,5,-10.628699297299306,0.9983112650955875,-11.411531326252561,-9.891706709223314,0,1.8461344568899897e-05,-10.646678715261833,
iou,AtomSegNet no_n2v,UNetPP no_n2v,5,0.01624166599208867,0.005136679902259181,0.012588506881111216,0.02088468409441706,5,0.002111593005269041,3.1618995734862447,no_n2v
iou,AtomSegNet no_n2v,HRNet no_n2v,5,0.013405470911507743,0.0013822221916481915,0.012306100368053196,0.014455266046293413,5,2.67462630633032e-05,9.698492031532767,no_n2v
iou,AtomSegNet no_n2v,SwinUNet no_n2v,5,0.021645276611440355,0.004559571874165228,0.018245839497319262,0.02504471372556145,5,0.0004458485301161312,4.747216889832052,no_n2v
iou,UNetPP no_n2v,HRNet no_n2v,5,-0.002836195080580928,0.005605618588491245,-0.007384068111249742,0.00132399774754961,1,0.32113902660869204,-0.5059557720184261,no_n2v
iou,UNetPP no_n2v,SwinUNet no_n2v,5,0.005403610619351684,0.005638576195714863,0.0026845591129385006,0.010506021649545061,5,0.09876685685786869,0.958328917051481,no_n2v
iou,HRNet no_n2v,SwinUNet no_n2v,5,0.008239805699932611,0.0040333922220883184,0.005154485801628384,0.01132512559823684,5,0.01027589899514426,2.0428972056842,no_n2v
iou,AtomSegNet with_n2v,UNetPP with_n2v,5,0.0011808770675646896,0.00901774266241298,-0.004866101676855639,0.008792127855841093,2,0.7842259795604388,0.13095040652321174,with_n2v
iou,AtomSegNet with_n2v,HRNet with_n2v,5,0.03684035763995197,0.0047193997746399555,0.033211780601860454,0.040343747107819634,5,6.324402341463496e-05,7.80615319725961,with_n2v
iou,UNetPP with_n2v,HRNet with_n2v,5,0.035659480572387284,0.007583661059777465,0.029773481607582798,0.04152925523697517,5,0.0004626799984040835,4.702145875363485,with_n2v
