stem,dose,blur,tilt,iou,condition,arch,model
00001,20,0.0,0.0,0.8706793802145412,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,20,0.0,0.1,0.8500583430571762,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,20,0.0,0.25,0.8485200232153222,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,20,1.0,0.0,0.8902077151335311,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,20,1.0,0.1,0.875725900116144,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,20,1.0,0.25,0.8635568513119534,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,20,2.0,0.0,0.8761627906976744,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,20,2.0,0.1,0.8683602771362586,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,20,2.0,0.25,0.8524027459954233,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,0.0,0.0,0.877624475104979,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,0.0,0.1,0.8704142011834319,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,0.0,0.25,0.8590203106332138,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,1.0,0.0,0.8747753145596165,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,1.0,0.1,0.8683589138134593,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,1.0,0.25,0.8490230905861457,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,2.0,0.0,0.88562874251497,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,2.0,0.1,0.8790887850467289,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,50,2.0,0.25,0.8601645123384254,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,0.0,0.0,0.8813253012048192,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,0.0,0.1,0.8794536817102138,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,0.0,0.25,0.8683574879227053,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,1.0,0.0,0.8804086538461539,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,1.0,0.1,0.8732311320754716,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,1.0,0.25,0.8750750750750751,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,2.0,0.0,0.8873740367516301,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,2.0,0.1,0.8768873403019745,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,200,2.0,0.25,0.8684054534676942,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,0.0,0.0,0.8837068443367656,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,0.0,0.1,0.8802858844550328,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,0.0,0.25,0.8739445114595898,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,1.0,0.0,0.8834541062801933,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,1.0,0.1,0.8880285884455033,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,1.0,0.25,0.8758288125376733,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,2.0,0.0,0.8907462686567165,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,2.0,0.1,0.8818713450292398,no_n2v,AtomSegNet,AtomSegNet no_n2v
00001,1000,2.0,0.25,0.8782816229116945,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,0.0,0.0,0.8870192307692307,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,0.0,0.1,0.8698190309398716,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,0.0,0.25,0.8808259587020649,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,1.0,0.0,0.8949579831932774,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,1.0,0.1,0.8960807600950119,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,1.0,0.25,0.9008313539192399,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,2.0,0.0,0.9043634190077705,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,2.0,0.1,0.8725099601593626,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,20,2.0,0.25,0.8834319526627219,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,0.0,0.0,0.8835946924004825,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,0.0,0.1,0.8901492537313432,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,0.0,0.25,0.8966346153846154,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,1.0,0.0,0.891500904159132,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,1.0,0.1,0.8918439716312057,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,1.0,0.25,0.8869617224880383,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,2.0,0.0,0.8948626045400239,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,2.0,0.1,0.8976470588235295,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,50,2.0,0.25,0.8969010727056019,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,0.0,0.0,0.8834541062801933,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,0.0,0.1,0.9032451923076923,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,0.0,0.25,0.887409200968523,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,1.0,0.0,0.8829209414604707,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,1.0,0.1,0.9027611044417767,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,1.0,0.25,0.8907004830917874,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,2.0,0.0,0.8924088463837417,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,2.0,0.1,0.908982748364069,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,200,2.0,0.25,0.8917464114832536,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,0.0,0.0,0.884312537855845,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,0.0,0.1,0.9052504526252263,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,0.0,0.25,0.8907103825136612,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,1.0,0.0,0.8876132930513595,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,1.0,0.1,0.908433734939759,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,1.0,0.25,0.8914493632504549,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,2.0,0.0,0.8970059880239521,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,2.0,0.1,0.9105545617173524,no_n2v,AtomSegNet,AtomSegNet no_n2v
00004,1000,2.0,0.25,0.8984984984984985,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,0.0,0.0,0.9131754705525197,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,0.0,0.1,0.8928571428571429,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,0.0,0.25,0.9134844868735084,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,1.0,0.0,0.8987951807228916,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,1.0,0.1,0.9042806183115338,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,1.0,0.25,0.9115523465703971,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,2.0,0.0,0.917420132610006,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,2.0,0.1,0.9056047197640118,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,20,2.0,0.25,0.9220855301698887,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,0.0,0.0,0.9068776628119294,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,0.0,0.1,0.9038231780167264,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,0.0,0.25,0.8963007883565798,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,1.0,0.0,0.908429351121892,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,1.0,0.1,0.9199759326113117,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,1.0,0.25,0.8927710843373494,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,2.0,0.0,0.9226118500604595,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,2.0,0.1,0.9146413752222881,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,2.0,0.25,0.907618476304739,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,0.0,0.0,0.9048780487804878,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,0.0,0.1,0.9164142943670502,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,0.0,0.25,0.8876678876678876,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,1.0,0.0,0.9110840438489647,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,1.0,0.1,0.9170702179176755,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,1.0,0.25,0.8904443091905052,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,2.0,0.0,0.9261053906723198,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,2.0,0.1,0.9187089061566049,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,2.0,0.25,0.8950542822677925,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,0.0,0.0,0.9034819792302994,no_n2v,AtomSegNet,AtomSegNet no_n2v
