n,bias_x,bias_y,bias_mag,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,n_pred,n_true,matched_frac,spurious_frac,sigma_px,crb,condition,arch
132,0.022073593769775357,0.11051835969241353,0.11270115958150013,0.2019274820332446,0.20520805990654092,0.4000632590981433,07364,50,0,0.0,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.050665853833749,0.02231302954004377,0.05536153928457629,0.2727617770658162,0.26860483289806336,0.4503159721520918,07364,50,0,0.0,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
133,0.013513664686769289,0.07930626540378682,0.08044938076556159,0.21387694910981928,0.20352954677580182,0.3653070664972729,07364,50,0,0.125,denoised,133,133,1.0,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.04014476597635053,0.017855926013268686,0.043936730978616015,0.3199385403286796,0.3303185499236817,0.45432886972853437,07364,50,0,0.125,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.01179354461730675,0.06290302486021915,0.06399904867422447,0.22326948883332612,0.2181917458560813,0.38315890783778345,07364,50,0,0.25,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.024486230207941162,-0.009853486191133243,0.026394443731875536,0.3084047233521308,0.2290975938554192,0.4038874302470752,07364,50,0,0.25,raw,132,133,0.9849624060150376,0.007575757575757569,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
133,0.028447630384818012,0.07367594561279134,0.07897729190375047,0.18333726172794487,0.19001655185230767,0.3697244144435251,07364,50,0,0.375,denoised,133,133,1.0,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.06512577924706875,-0.010226052854022782,0.06592373836116394,0.28187969436385446,0.3289879686816071,0.4313506309297301,07364,50,0,0.375,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.04002240713793981,0.07373185408572702,0.08389385782066501,0.21262431114882563,0.2094122641918735,0.397688536690733,07364,50,0,0.5,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.07158392412810599,0.017468498970032442,0.07368450752936101,0.30947068102291875,0.36454307938049424,0.4754815227400514,07364,50,0,0.5,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.025779735581238583,0.08272584183467302,0.08664963747122036,0.20441180751240906,0.20285388244855843,0.3516779731884937,07364,50,0,0.625,denoised,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.04369565998555913,-0.00573224496085345,0.04407005030476847,0.22461425553991177,0.36729178616699026,0.4204001101533856,07364,50,0,0.625,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
