stem.weight	(32, 1, 3, 3)
enc1.n1.weight	(32,)
enc1.n1.bias	(32,)
enc1.c1.weight	(32, 32, 3, 3)
enc1.n2.weight	(32,)
enc1.n2.bias	(32,)
enc1.c2.weight	(32, 32, 3, 3)
enc2.n1.weight	(32,)
enc2.n1.bias	(32,)
enc2.c1.weight	(64, 32, 3, 3)
enc2.n2.weight	(64,)
enc2.n2.bias	(64,)
enc2.c2.weight	(64, 64, 3, 3)
enc2.skip.weight	(64, 32, 1, 1)
enc3.n1.weight	(64,)
enc3.n1.bias	(64,)
enc3.c1.weight	(128, 64, 3, 3)
enc3.n2.weight	(128,)
enc3.n2.bias	(128,)
enc3.c2.weight	(128, 128, 3, 3)
enc3.skip.weight	(128, 64, 1, 1)
enc4.n1.weight	(128,)
enc4.n1.bias	(128,)
enc4.c1.weight	(256, 128, 3, 3)
enc4.n2.weight	(256,)
enc4.n2.bias	(256,)
enc4.c2.weight	(256, 256, 3, 3)
enc4.skip.weight	(256, 128, 1, 1)
bot.n1.weight	(256,)
bot.n1.bias	(256,)
bot.c1.weight	(512, 256, 3, 3)
bot.n2.weight	(512,)
bot.n2.bias	(512,)
bot.c2.weight	(512, 512, 3, 3)
bot.skip.weight	(512, 256, 1, 1)
up4.1.weight	(256, 512, 3, 3)
dec4.n1.weight	(512,)
dec4.n1.bias	(512,)
dec4.c1.weight	(256, 512, 3, 3)
dec4.n2.weight	(256,)
dec4.n2.bias	(256,)
dec4.c2.weight	(256, 256, 3, 3)
dec4.skip.weight	(256, 512, 1, 1)
up3.1.weight	(128, 256, 3, 3)
dec3.n1.weight	(256,)
dec3.n1.bias	(256,)
dec3.c1.weight	(128, 256, 3, 3)
dec3.n2.weight	(128,)
dec3.n2.bias	(128,)
dec3.c2.weight	(128, 128, 3, 3)
dec3.skip.weight	(128, 256, 1, 1)
up2.1.weight	(64, 128, 3, 3)
dec2.n1.weight	(128,)
dec2.n1.bias	(128,)
dec2.c1.weight	(64, 128, 3, 3)
dec2.n2.weight	(64,)
dec2.n2.bias	(64,)
dec2.c2.weight	(64, 64, 3, 3)
dec2.skip.weight	(64, 128, 1, 1)
up1.1.weight	(32, 64, 3, 3)
dec1.n1.weight	(64,)
dec1.n1.bias	(64,)
dec1.c1.weight	(32, 64, 3, 3)
dec1.n2.weight	(32,)
dec1.n2.bias	(32,)
dec1.c2.weight	(32, 32, 3, 3)
dec1.skip.weight	(32, 64, 1, 1)
ag4.wg.weight	(128, 512, 1, 1)
ag4.wg.bias	(128,)
ag4.wx.weight	(128, 256, 1, 1)
ag4.wx.bias	(128,)
ag4.psi.weight	(1, 128, 1, 1)
ag4.psi.bias	(1,)
ag3.wg.weight	(64, 256, 1, 1)
ag3.wg.bias	(64,)
ag3.wx.weight	(64, 128, 1, 1)
ag3.wx.bias	(64,)
ag3.psi.weight	(1, 64, 1, 1)
ag3.psi.bias	(1,)
ag2.wg.weight	(32, 128, 1, 1)
ag2.wg.bias	(32,)
ag2.wx.weight	(32, 64, 1, 1)
ag2.wx.bias	(32,)
ag2.psi.weight	(1, 32, 1, 1)
ag2.psi.bias	(1,)
ag1.wg.weight	(16, 64, 1, 1)
ag1.wg.bias	(16,)
ag1.wx.weight	(16, 32, 1, 1)
ag1.wx.bias	(16,)
ag1.psi.weight	(1, 16, 1, 1)
ag1.psi.bias	(1,)
out_norm.weight	(32,)
out_norm.bias	(32,)
head_denoise.conv.weight	(1, 32, 1, 1)
head_denoise.conv.bias	(1,)
head_seg.weight	(1, 32, 1, 1)
head_seg.bias	(1,)
