patch_embed.weight	(56, 1, 4, 4)
patch_embed.bias	(56,)
patch_norm.weight	(56,)
patch_norm.bias	(56,)
encoder.0.blocks.0.norm1.weight	(56,)
encoder.0.blocks.0.norm1.bias	(56,)
encoder.0.blocks.0.attn.relative_position_bias_table	(225, 2)
encoder.0.blocks.0.attn.qkv.weight	(168, 56)
encoder.0.blocks.0.attn.qkv.bias	(168,)
encoder.0.blocks.0.attn.proj.weight	(56, 56)
encoder.0.blocks.0.attn.proj.bias	(56,)
encoder.0.blocks.0.norm2.weight	(56,)
encoder.0.blocks.0.norm2.bias	(56,)
encoder.0.blocks.0.mlp.0.weight	(224, 56)
encoder.0.blocks.0.mlp.0.bias	(224,)
encoder.0.blocks.0.mlp.3.weight	(56, 224)
encoder.0.blocks.0.mlp.3.bias	(56,)
encoder.0.blocks.1.norm1.weight	(56,)
encoder.0.blocks.1.norm1.bias	(56,)
encoder.0.blocks.1.attn.relative_position_bias_table	(225, 2)
encoder.0.blocks.1.attn.qkv.weight	(168, 56)
encoder.0.blocks.1.attn.qkv.bias	(168,)
encoder.0.blocks.1.attn.proj.weight	(56, 56)
encoder.0.blocks.1.attn.proj.bias	(56,)
encoder.0.blocks.1.norm2.weight	(56,)
encoder.0.blocks.1.norm2.bias	(56,)
encoder.0.blocks.1.mlp.0.weight	(224, 56)
encoder.0.blocks.1.mlp.0.bias	(224,)
encoder.0.blocks.1.mlp.3.weight	(56, 224)
encoder.0.blocks.1.mlp.3.bias	(56,)
encoder.1.blocks.0.norm1.weight	(112,)
encoder.1.blocks.0.norm1.bias	(112,)
encoder.1.blocks.0.attn.relative_position_bias_table	(225, 4)
encoder.1.blocks.0.attn.qkv.weight	(336, 112)
encoder.1.blocks.0.attn.qkv.bias	(336,)
encoder.1.blocks.0.attn.proj.weight	(112, 112)
encoder.1.blocks.0.attn.proj.bias	(112,)
encoder.1.blocks.0.norm2.weight	(112,)
encoder.1.blocks.0.norm2.bias	(112,)
encoder.1.blocks.0.mlp.0.weight	(448, 112)
encoder.1.blocks.0.mlp.0.bias	(448,)
encoder.1.blocks.0.mlp.3.weight	(112, 448)
encoder.1.blocks.0.mlp.3.bias	(112,)
encoder.1.blocks.1.norm1.weight	(112,)
encoder.1.blocks.1.norm1.bias	(112,)
encoder.1.blocks.1.attn.relative_position_bias_table	(225, 4)
encoder.1.blocks.1.attn.qkv.weight	(336, 112)
encoder.1.blocks.1.attn.qkv.bias	(336,)
encoder.1.blocks.1.attn.proj.weight	(112, 112)
encoder.1.blocks.1.attn.proj.bias	(112,)
encoder.1.blocks.1.norm2.weight	(112,)
encoder.1.blocks.1.norm2.bias	(112,)
encoder.1.blocks.1.mlp.0.weight	(448, 112)
encoder.1.blocks.1.mlp.0.bias	(448,)
encoder.1.blocks.1.mlp.3.weight	(112, 448)
encoder.1.blocks.1.mlp.3.bias	(112,)
encoder.2.blocks.0.norm1.weight	(224,)
encoder.2.blocks.0.norm1.bias	(224,)
encoder.2.blocks.0.attn.relative_position_bias_table	(225, 8)
encoder.2.blocks.0.attn.qkv.weight	(672, 224)
encoder.2.blocks.0.attn.qkv.bias	(672,)
encoder.2.blocks.0.attn.proj.weight	(224, 224)
encoder.2.blocks.0.attn.proj.bias	(224,)
encoder.2.blocks.0.norm2.weight	(224,)
encoder.2.blocks.0.norm2.bias	(224,)
encoder.2.blocks.0.mlp.0.weight	(896, 224)
encoder.2.blocks.0.mlp.0.bias	(896,)
encoder.2.blocks.0.mlp.3.weight	(224, 896)
encoder.2.blocks.0.mlp.3.bias	(224,)
encoder.2.blocks.1.norm1.weight	(224,)
encoder.2.blocks.1.norm1.bias	(224,)
encoder.2.blocks.1.attn.relative_position_bias_table	(225, 8)
encoder.2.blocks.1.attn.qkv.weight	(672, 224)
encoder.2.blocks.1.attn.qkv.bias	(672,)
encoder.2.blocks.1.attn.proj.weight	(224, 224)
encoder.2.blocks.1.attn.proj.bias	(224,)
encoder.2.blocks.1.norm2.weight	(224,)
encoder.2.blocks.1.norm2.bias	(224,)
encoder.2.blocks.1.mlp.0.weight	(896, 224)
encoder.2.blocks.1.mlp.0.bias	(896,)
encoder.2.blocks.1.mlp.3.weight	(224, 896)
encoder.2.blocks.1.mlp.3.bias	(224,)
encoder.3.blocks.0.norm1.weight	(448,)
encoder.3.blocks.0.norm1.bias	(448,)
encoder.3.blocks.0.attn.relative_position_bias_table	(225, 16)
encoder.3.blocks.0.attn.qkv.weight	(1344, 448)
encoder.3.blocks.0.attn.qkv.bias	(1344,)
encoder.3.blocks.0.attn.proj.weight	(448, 448)
encoder.3.blocks.0.attn.proj.bias	(448,)
encoder.3.blocks.0.norm2.weight	(448,)
encoder.3.blocks.0.norm2.bias	(448,)
encoder.3.blocks.0.mlp.0.weight	(1792, 448)
encoder.3.blocks.0.mlp.0.bias	(1792,)
encoder.3.blocks.0.mlp.3.weight	(448, 1792)
encoder.3.blocks.0.mlp.3.bias	(448,)
encoder.3.blocks.1.norm1.weight	(448,)
encoder.3.blocks.1.norm1.bias	(448,)
encoder.3.blocks.1.attn.relative_position_bias_table	(225, 16)
encoder.3.blocks.1.attn.qkv.weight	(1344, 448)
encoder.3.blocks.1.attn.qkv.bias	(1344,)
encoder.3.blocks.1.attn.proj.weight	(448, 448)
encoder.3.blocks.1.attn.proj.bias	(448,)
encoder.3.blocks.1.norm2.weight	(448,)
encoder.3.blocks.1.norm2.bias	(448,)
encoder.3.blocks.1.mlp.0.weight	(1792, 448)
encoder.3.blocks.1.mlp.0.bias	(1792,)
encoder.3.blocks.1.mlp.3.weight	(448, 1792)
encoder.3.blocks.1.mlp.3.bias	(448,)
mergers.0.norm.weight	(224,)
mergers.0.norm.bias	(224,)
mergers.0.reduce.weight	(112, 224)
mergers.1.norm.weight	(448,)
mergers.1.norm.bias	(448,)
mergers.1.reduce.weight	(224, 448)
mergers.2.norm.weight	(896,)
mergers.2.norm.bias	(896,)
mergers.2.reduce.weight	(448, 896)
bottleneck_norm.weight	(448,)
bottleneck_norm.bias	(448,)
expanders.0.expand.weight	(896, 448)
expanders.0.norm.weight	(224,)
expanders.0.norm.bias	(224,)
expanders.1.expand.weight	(448, 224)
expanders.1.norm.weight	(112,)
expanders.1.norm.bias	(112,)
expanders.2.expand.weight	(224, 112)
expanders.2.norm.weight	(56,)
expanders.2.norm.bias	(56,)
skip_projections.0.weight	(224, 448)
skip_projections.0.bias	(224,)
skip_projections.1.weight	(112, 224)
skip_projections.1.bias	(112,)
skip_projections.2.weight	(56, 112)
skip_projections.2.bias	(56,)
decoder.0.blocks.0.norm1.weight	(224,)
decoder.0.blocks.0.norm1.bias	(224,)
decoder.0.blocks.0.attn.relative_position_bias_table	(225, 8)
decoder.0.blocks.0.attn.qkv.weight	(672, 224)
decoder.0.blocks.0.attn.qkv.bias	(672,)
decoder.0.blocks.0.attn.proj.weight	(224, 224)
decoder.0.blocks.0.attn.proj.bias	(224,)
decoder.0.blocks.0.norm2.weight	(224,)
decoder.0.blocks.0.norm2.bias	(224,)
decoder.0.blocks.0.mlp.0.weight	(896, 224)
decoder.0.blocks.0.mlp.0.bias	(896,)
decoder.0.blocks.0.mlp.3.weight	(224, 896)
decoder.0.blocks.0.mlp.3.bias	(224,)
decoder.0.blocks.1.norm1.weight	(224,)
decoder.0.blocks.1.norm1.bias	(224,)
decoder.0.blocks.1.attn.relative_position_bias_table	(225, 8)
decoder.0.blocks.1.attn.qkv.weight	(672, 224)
decoder.0.blocks.1.attn.qkv.bias	(672,)
decoder.0.blocks.1.attn.proj.weight	(224, 224)
decoder.0.blocks.1.attn.proj.bias	(224,)
decoder.0.blocks.1.norm2.weight	(224,)
decoder.0.blocks.1.norm2.bias	(224,)
decoder.0.blocks.1.mlp.0.weight	(896, 224)
decoder.0.blocks.1.mlp.0.bias	(896,)
decoder.0.blocks.1.mlp.3.weight	(224, 896)
decoder.0.blocks.1.mlp.3.bias	(224,)
decoder.1.blocks.0.norm1.weight	(112,)
decoder.1.blocks.0.norm1.bias	(112,)
decoder.1.blocks.0.attn.relative_position_bias_table	(225, 4)
decoder.1.blocks.0.attn.qkv.weight	(336, 112)
decoder.1.blocks.0.attn.qkv.bias	(336,)
decoder.1.blocks.0.attn.proj.weight	(112, 112)
decoder.1.blocks.0.attn.proj.bias	(112,)
decoder.1.blocks.0.norm2.weight	(112,)
decoder.1.blocks.0.norm2.bias	(112,)
decoder.1.blocks.0.mlp.0.weight	(448, 112)
decoder.1.blocks.0.mlp.0.bias	(448,)
decoder.1.blocks.0.mlp.3.weight	(112, 448)
decoder.1.blocks.0.mlp.3.bias	(112,)
