stem,n_columns
00001,4
00004,4
00011,4
00018,4
00021,4
00024,4
00030,4
00033,4
00035,4
00038,4
00043,4
00044,4
00046,4
00057,4
00059,4
00062,4
00074,5
00077,5
00080,5
00081,5
00086,5
00089,5
00094,5
00097,5
00105,5
00107,5
00109,5
00128,17
00132,18
00133,19
00135,17
00145,20
00158,17
00189,23
00210,7
00213,7
00217,8
00223,7
00228,7
00234,7
00240,7
00244,6
00253,24
00257,24
00260,24
00266,23
00267,22
00268,23
00275,19
00276,19
00289,20
00292,20
00293,20
00296,22
00317,12
00319,12
00324,12
00335,12
00338,11
00345,12
00348,12
00350,12
00357,12
00369,12
00377,12
00381,12
00382,12
00388,11
00394,12
00401,12
00402,11
00408,12
00409,11
00410,11
00415,11
00416,11
00417,11
00427,11
00428,11
00429,11
00431,11
00439,12
00440,12
00441,12
00444,12
00445,12
00450,16
00457,15
00463,12
00468,14
00470,14
00473,13
00481,13
00487,14
00494,14
00497,16
00501,16
00510,12
00514,12
00520,11
00521,10
00533,11
00550,11
00562,12
00564,12
00566,12
00568,12
00577,12
00578,12
00579,12
00591,13
00592,13
00595,14
00599,13
00604,12
00618,14
00621,13
00622,16
00624,16
00626,12
00634,12
00649,11
00653,11
00656,12
00657,11
00665,11
00685,11
00695,6
00706,7
00711,6
00712,7
00713,7
00714,7
00716,7
00731,6
00734,7
00743,7
00744,6
00746,7
00749,8
00757,9
00759,9
00762,12
00766,11
00767,11
00775,10
00778,9
00783,10
00784,10
00789,10
00790,8
00793,9
00797,9
00800,10
00802,10
00804,10
00810,11
00820,12
00827,10
00830,12
00838,10
00841,11
00842,11
00843,11
00844,10
00850,10
00853,11
00859,10
00867,11
00872,11
00880,12
00882,12
00884,8
00890,8
00907,7
00910,7
00912,7
00916,7
00917,8
00935,8
00940,8
00950,8
00953,8
00958,7
00959,7
00961,7
00966,7
00974,6
00977,7
00982,6
00995,7
00999,8
01010,8
01021,8
01024,8
01032,7
01039,8
01042,7
01043,8
01047,7
01057,7
01065,8
01072,4
01077,4
01083,4
01085,4
01091,4
01092,4
01093,4
01104,4
01110,4
01111,4
01113,4
01114,4
01119,4
01120,4
01124,4
01128,4
01145,5
01146,5
01147,5
01148,5
01150,5
01156,5
01157,5
01161,5
01163,5
01181,5
01188,5
01194,5
01195,5
01196,5
01207,17
01216,16
01220,16
01221,16
01223,18
01225,18
01233,18
01234,17
01243,19
01246,20
01255,17
01256,17
01260,18
01264,8
01265,8
01273,8
01282,8
01285,7
01286,8
01296,8
01306,7
01310,8
01314,8
01319,8
01331,24
01337,21
01340,23
01345,20
01346,20
01350,19
01360,22
01361,22
01375,23
01380,24
01396,11
01406,12
01407,12
01416,11
01420,12
01422,11
01424,12
01427,11
01433,11
01438,10
01442,12
01445,10
01447,12
01459,12
01460,12
01464,11
01473,10
01480,11
01486,11
01487,11
01495,12
01502,12
01504,12
01507,12
01510,12
01512,10
01514,16
01524,13
01528,14
01537,13
01542,13
01544,13
01551,13
01555,13
01559,12
01569,12
01570,16
01573,16
01574,16
01577,12
01579,10
01585,11
01593,11
01595,9
01597,11
01598,11
01609,11
01611,10
01613,11
01614,11
01615,9
01617,11
01619,9
01632,10
01643,16
01650,13
01655,15
01659,12
01661,14
01672,14
01673,13
01692,16
01693,16
01695,16
01699,16
01700,16
01703,12
01719,11
01722,12
01727,10
01729,11
01730,11
01738,11
01742,12
01746,11
01759,12
01761,11
01766,8
01776,7
01781,7
01786,6
01794,4
01795,6
01802,5
01806,7
01809,7
01818,6
01822,6
01823,6
01825,8
01826,8
01831,12
01832,12
01834,12
01835,12
01836,12
01846,10
01852,11
01863,10
01865,9
01867,10
01878,11
01879,10
01884,9
01886,12
01887,12
01889,12
01891,12
01897,12
01898,12
01902,11
01905,11
01906,11
01916,11
01919,11
01935,10
01938,11
01942,12
01964,7
01972,7
01973,7
01974,7
01976,8
01978,7
01980,6
02002,8
02005,8
02007,8
02016,8
02019,8
02031,7
02038,5
02046,7
02047,7
02073,8
02076,8
02089,8
02090,8
02092,8
02095,8
02099,7
02103,7
02108,8
02109,8
02111,7
02115,7
02135,8
02139,8
02143,4
02147,4
02153,4
02155,4
02164,4
02166,4
02169,4
02175,4
02186,4
02187,4
02189,4
02192,4
02200,4
02211,5
02212,5
02217,5
02222,5
02229,5
02232,5
02234,5
02240,5
02246,5
02250,5
02251,5
02253,5
02261,5
02269,8
02270,8
02274,8
02276,8
02278,8
02281,8
02288,7
02289,7
02291,8
02292,7
02305,8
02315,7
02317,8
02318,8
02319,7
02329,8
02334,12
02336,12
02339,12
02341,12
02348,12
02363,11
02368,12
02373,12
02378,11
02381,12
02387,12
02390,12
02392,12
02393,12
02402,12
02414,11
02415,11
02423,11
02424,11
02446,11
02448,11
02451,12
02458,12
02459,12
02464,16
02465,16
02466,16
02475,14
02485,11
02493,13
02499,12
02504,12
02511,14
02514,16
02515,16
02517,12
02518,16
02523,12
02524,10
02529,10
02533,10
02541,9
02544,10
02547,9
02553,11
02560,10
02565,9
02575,12
02577,12
02578,12
02579,12
02587,12
02589,9
02593,14
02603,14
02609,13
02614,11
02621,13
02622,13
02626,13
02628,13
02634,13
02648,11
02649,11
02651,12
02652,11
02653,12
02657,11
02667,11
02674,10
02676,10
02685,12
02686,12
02689,11
02692,12
02699,11
02710,6
02725,7
02731,7
02733,6
02738,7
02743,6
02749,7
02756,7
02757,7
02760,7
02763,7
02765,8
02778,12
02782,11
02789,10
02802,10
02805,11
02816,9
02827,9
02830,12
02836,4
02837,4
02838,4
02841,8
02847,7
02848,7
02856,7
02861,6
02863,7
02866,7
02871,7
02874,7
02878,7
02883,7
02889,7
02890,6
02894,6
02900,6
02902,8
02903,8
02904,8
02908,7
02917,8
02923,8
02930,7
02931,8
02933,8
02935,8
02938,7
02948,8
02953,8
02957,6
02960,8
02961,8
02964,4
02967,4
02969,4
02974,4
02982,4
02983,4
02987,4
03003,4
03004,4
03007,4
03024,4
03027,10
03028,12
03034,11
03035,11
03038,11
03039,11
03048,11
03049,11
03051,11
03054,10
03061,11
03062,11
03067,11
03069,11
03079,12
03081,12
03083,12
03089,12
03095,12
03096,12
03101,10
03103,11
03111,10
03119,11
03126,10
03127,11
03131,11
03132,11
03133,10
03134,10
03140,11
03149,10
03161,11
03167,12
03182,11
03183,11
03191,10
03197,10
03208,12
03209,12
03214,8
03219,8
03220,8
03232,6
03233,6
03235,7
03239,7
03245,7
03248,6
03255,7
03264,6
03265,6
03266,7
03269,8
03273,8
03280,9
03285,12
03286,11
03287,11
03290,11
03294,11
03296,11
03299,9
03302,10
03306,9
03315,11
03317,10
03330,11
03334,12
03335,12
03342,6
03348,8
03350,8
03353,6
03354,6
03371,7
03378,7
03379,7
03389,7
03400,6
03401,8
03403,21
03404,21
03406,18
03410,22
03413,16
03414,16
03419,18
03425,22
03432,17
03438,11
03443,18
03446,16
03459,19
03465,20
03471,21
03474,24
03476,23
03481,20
03499,21
03500,22
03509,21
03514,21
03521,24
03524,21
03525,24
03527,24
03528,21
03529,12
03530,12
03533,12
03539,12
03541,12
03542,12
03543,11
03545,11
03546,11
03564,11
03574,12
03575,12
03583,12
03594,14
03603,4
03604,4
03612,14
03614,4
03615,14
03616,14
03618,14
03621,4
03622,14
03624,13
03648,4
03650,4
03651,14
03652,14
03657,21
03661,21
03672,19
03681,5
03686,5
03689,21
03694,20
03706,20
03709,5
03722,30
03725,32
03743,28
03754,30
03756,30
03762,29
03772,26
03774,26
03777,28
03778,34
03783,16
03786,15
03791,16
03814,15
03818,15
03822,15
03823,14
03835,15
03854,30
03856,30
03858,30
