variant,n,iou,dice,precision,recall,arch,fold,condition
image,60,0.8329856163384268,0.9066070579885014,0.9146838362655187,0.9018942902721864,AtomSegNet,2,with_n2v
noNoise,60,0.8915545488359403,0.9418317939410598,0.954145088873834,0.9322656001332812,AtomSegNet,2,with_n2v
noBackgroundnoNoise,60,0.9016630161773634,0.9478001124643334,0.9693958614413779,0.9289596845611204,AtomSegNet,2,with_n2v
noNoiseUpinterpolation2x,60,0.892330337994781,0.9423078128737372,0.9550801044629477,0.9323830631723096,AtomSegNet,2,with_n2v
image,60,0.8462953232284883,0.9144116701886655,0.9131692618486106,0.9179261780215527,UNetPP,2,with_n2v
noNoise,60,0.8967300079598627,0.9449005621704738,0.9582007233359102,0.9345824975517874,UNetPP,2,with_n2v
noBackgroundnoNoise,60,0.9080118088804202,0.9514037049384804,0.9756752388032487,0.9298192715120881,UNetPP,2,with_n2v
noNoiseUpinterpolation2x,60,0.8972311749055636,0.9452175695320317,0.9590307809503359,0.9344415063835337,UNetPP,2,with_n2v
image,60,0.7961540572308424,0.8800183714135034,0.9025391051913929,0.8730855218308355,HRNet,2,with_n2v
noNoise,60,0.8454028818104448,0.9072920223914421,0.9202325071803318,0.9190690538775492,HRNet,2,with_n2v
noBackgroundnoNoise,60,0.8923237815106424,0.9425118403332323,0.9799999498007748,0.9103675538439103,HRNet,2,with_n2v
noNoiseUpinterpolation2x,60,0.8467883256920654,0.9081442234059637,0.921391269061507,0.9196718761987556,HRNet,2,with_n2v
image,60,0.8536492562429819,0.9186871153431828,0.9242138207255134,0.9158480400100742,AtomSegNet,2,no_n2v
noNoise,60,0.9012999048573124,0.9468348230106162,0.9469405696977543,0.9510708000448349,AtomSegNet,2,no_n2v
noBackgroundnoNoise,60,0.9190005908274771,0.9576373112606363,0.976207072598691,0.9406767081679763,AtomSegNet,2,no_n2v
noNoiseUpinterpolation2x,60,0.9010731698769399,0.9466880986944753,0.9470867618156885,0.9507740225593366,AtomSegNet,2,no_n2v
image,60,0.8425874908528359,0.9123084660491829,0.9208242043180427,0.9059384593730763,UNetPP,2,no_n2v
noNoise,60,0.8943161956731003,0.9436044067095006,0.9647055357113674,0.9260339395148451,UNetPP,2,no_n2v
noBackgroundnoNoise,60,0.909425859984127,0.9523251238154873,0.9753349404567773,0.9317638997280348,UNetPP,2,no_n2v
noNoiseUpinterpolation2x,60,0.8948006535135634,0.9438966205479936,0.9652383204516799,0.926159849310612,UNetPP,2,no_n2v
image,60,0.8313299400910138,0.9028751036258797,0.9149393858636194,0.897353067433688,HRNet,2,no_n2v
noNoise,60,0.8839413721259669,0.9366139293727095,0.9363058817805872,0.9401751836550665,HRNet,2,no_n2v
noBackgroundnoNoise,60,0.9117387336133959,0.9535984021145267,0.9740575908822964,0.9348290733814605,HRNet,2,no_n2v
noNoiseUpinterpolation2x,60,0.8852637631125512,0.9374013794889373,0.9374326569621675,0.9406202435929759,HRNet,2,no_n2v
image,60,0.8248995914419258,0.9017513892798625,0.8900404512913358,0.9165138381683129,SwinUNet,4,no_n2v
noNoise,60,0.9032186899901616,0.9485227447622813,0.9546152823596805,0.9439040033973183,SwinUNet,4,no_n2v
noBackgroundnoNoise,60,0.9208849742104049,0.9586870363335983,0.9658958731976679,0.9523760664028322,SwinUNet,4,no_n2v
noNoiseUpinterpolation2x,60,0.9037731425536044,0.9488368401358502,0.9556233075753151,0.9435783344877057,SwinUNet,4,no_n2v
