n,bias_x,bias_y,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,matched_frac,sigma_px,crb,condition,arch
132,0.02967957480970007,-0.010414257456119458,0.26656066415790797,0.2495097949052271,0.3461868866951105,07457,50,0,0.0,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.016609230573614298,0.06766196893550713,0.1779852799960387,0.15709307676216583,0.23706722287664242,07457,50,0,0.0,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.02718561065549352,0.03892572400874528,0.2173631765378423,0.18778031356677674,0.2740066344328754,07457,50,0,0.0,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.015384375088132174,-0.018654548488740375,0.2653374775362635,0.23762296210721773,0.3537539233336821,07457,50,0,0.125,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.010496080230355531,0.05507434537553202,0.17822781516428704,0.1507518802130675,0.23082104267817638,07457,50,0,0.125,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.019546319889606423,0.014079478075519347,0.2096341848422499,0.19408920113551542,0.26744438972236406,07457,50,0,0.125,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.017728268811794123,-0.021122486322482814,0.2756367542878017,0.28632064378725414,0.3678775896252451,07457,50,0,0.25,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.0017285243955456053,0.06584451834034866,0.15240349676599868,0.1921073480441653,0.23570132179802075,07457,50,0,0.25,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.00030651455953734086,0.025766936275395835,0.16643461965478712,0.23343879703411666,0.2845331161378819,07457,50,0,0.25,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.008422355039357399,-0.026692937725584898,0.2743022037437759,0.25264262265795573,0.35722348238786505,07457,50,0,0.375,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.009975631634787874,0.04577653065410914,0.1625943934222994,0.16437388645292425,0.239725998622123,07457,50,0,0.375,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.002372689869421407,0.030766123166259263,0.16803425916200992,0.18476402884501364,0.2692850721372177,07457,50,0,0.375,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.0031894685442708237,0.0010750325885027223,0.2573882266303273,0.2555170827789944,0.36301459379103274,07457,50,0,0.5,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.03709917900890147,0.06847934840895675,0.16272261042058167,0.15135056080885886,0.22489169853533866,07457,50,0,0.5,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.0035634247416105325,0.030531583452141575,0.21044176068391032,0.17644543629446655,0.2620733745031661,07457,50,0,0.5,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.03281415189904635,-0.051630962838117966,0.2905524361502326,0.24465126693749886,0.377156231395173,07457,50,0,0.625,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.03892376323865676,0.042710070684332635,0.16524795435879358,0.1582522496886102,0.23133582862852942,07457,50,0,0.625,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.026679214145634234,-0.015574375025442677,0.19113357987209573,0.20173045092466013,0.2732694414118598,07457,50,0,0.625,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.004417799629223396,-0.009055891296767982,0.305495905169748,0.2572637533788907,0.39061270372036294,07457,50,0,0.75,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
